epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,7965.92,0.89007,1.13025,0.45716,0.00223,0.37379,0.83545,0.9002,0.91031,0.77903,0.87016,0.82579,0.88791,0.64262,0.58584,0.84216,0.44732,0.00191,0,0.0009308,0.0009308,0.0009308
29,8239.76,0.86537,1.11246,0.45302,0.00225,0.36137,0.84412,0.90428,0.91905,0.78346,0.87285,0.8554,0.90349,0.65991,0.59028,0.83486,0.44554,0.00205,0,0.0008912,0.0008912,0.0008912
30,8515.06,0.86316,1.0968,0.43836,0.0022,0.34787,0.86476,0.89613,0.91959,0.78625,0.85953,0.88086,0.90616,0.65978,0.57107,0.85076,0.47169,0.00196,0,0.0008516,0.0008516,0.0008516
31,8785.69,0.86188,1.10551,0.446,0.00219,0.35488,0.83347,0.91242,0.91416,0.78201,0.8533,0.85887,0.89889,0.66411,0.58431,0.82068,0.43794,0.00202,0,0.000812,0.000812,0.000812
32,9055.86,0.86075,1.10543,0.43824,0.00217,0.3462,0.8632,0.89955,0.91097,0.77595,0.85387,0.87882,0.88912,0.6492,0.58563,0.85216,0.61148,0.00201,0,0.0007724,0.0007724,0.0007724
33,9322.91,0.84794,1.08469,0.43001,0.00214,0.34143,0.87199,0.87475,0.91836,0.78979,0.86184,0.86456,0.90846,0.66463,0.58526,0.85554,0.4149,0.00203,0,0.0007328,0.0007328,0.0007328
34,9595.56,0.85132,1.07206,0.431,0.0021,0.34393,0.85951,0.89087,0.92025,0.79313,0.86395,0.85642,0.90694,0.67672,0.56957,0.83134,0.42067,0.00195,0,0.0006932,0.0006932,0.0006932
35,9867.37,0.83873,1.07769,0.42168,0.00212,0.33419,0.85678,0.86506,0.90651,0.77997,0.84477,0.84792,0.89048,0.64532,0.56779,0.81368,0.47336,0.00192,0,0.0006536,0.0006536,0.0006536
36,10140.7,0.85847,1.09352,0.43252,0.00211,0.34384,0.85638,0.89919,0.91976,0.79126,0.84654,0.88758,0.90744,0.68391,0.60046,0.82428,0.41031,0.00209,0,0.000614,0.000614,0.000614
37,10406.9,0.82159,1.04647,0.40916,0.00208,0.32603,0.87321,0.90224,0.91864,0.79088,0.87312,0.87678,0.90325,0.66773,0.57663,0.83854,0.48937,0.00201,0,0.0005744,0.0005744,0.0005744
38,10675.2,0.82525,1.06059,0.4118,0.00207,0.3115,0.86865,0.91344,0.92454,0.79567,0.86153,0.89104,0.90814,0.67097,0.55328,0.81233,0.42215,0.00184,0,0.0005348,0.0005348,0.0005348
39,10947,0.83374,1.06861,0.41285,0.00206,0.32224,0.87525,0.89613,0.91972,0.79404,0.87138,0.87618,0.90291,0.66658,0.56884,0.81949,0.4361,0.00201,0,0.0004952,0.0004952,0.0004952
40,11216.1,0.84819,1.08331,0.4157,0.00205,0.32164,0.87513,0.89214,0.92033,0.80094,0.8827,0.85829,0.90201,0.66185,0.54995,0.81266,0.39573,0.00186,0,0.0004556,0.0004556,0.0004556
41,11380.3,0.66764,0.85359,0.30766,0.0019,0.23947,0.87714,0.89427,0.92149,0.79784,0.87728,0.87357,0.90629,0.67886,0.57091,0.81946,0.39073,0.002,0,0.000416,0.000416,0.000416
42,11535.9,0.65775,0.85209,0.29417,0.00184,0.2213,0.88387,0.88798,0.92359,0.80345,0.87991,0.87475,0.90805,0.66763,0.5564,0.81815,0.40633,0.00192,0,0.0003764,0.0003764,0.0003764
43,11691.3,0.64887,0.81494,0.28516,0.00182,0.2203,0.86913,0.91297,0.92471,0.80985,0.85654,0.89987,0.9124,0.67875,0.56631,0.81889,0.39221,0.00203,0,0.0003368,0.0003368,0.0003368
